"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 25 22:20:08 CST 2023","Tue Jul 25 22:20:10 CST 2023","2564","Case.qd_case","test_login_search","","","","登陆",""
"passed","Tue Jul 25 22:20:10 CST 2023","Tue Jul 25 22:20:16 CST 2023","5472","Case.qd_case","test_login_search","","","","搜索",""
